,station_id,date_from,date_to,altitude,latitude,longitude,name,state
8,73,1953-01-01,2021-12-31,340,48.6159,13.0506,Aldersbach-Kriestorf,Bayern
21,142,1955-01-01,2021-12-31,511,48.406,11.3117,Altomünster-Maisbrunn,Bayern
23,151,1881-01-01,2021-12-31,382,49.4691,11.8546,Amberg-Unterammersricht,Bayern
24,154,1994-01-01,2021-12-31,516,48.0197,12.2925,Amerang-Pfaffing,Bayern
38,191,1884-01-01,2021-12-31,217,49.9694,9.9114,Arnstein-Müdesheim,Bayern
44,217,1938-01-01,2021-12-31,670,47.8774,11.3643,Attenkam,Bayern
48,232,1947-01-01,2021-12-31,462,48.4253,10.9417,Augsburg,Bayern
54,282,1949-01-01,2021-12-31,240,49.8743,10.9206,Bamberg,Bayern
62,320,1851-01-01,2021-12-31,350,49.9666,11.5198,Heinersreuth-Vollhof,Bayern
176,856,1998-01-01,2021-12-31,551,47.8843,12.5404,Chieming,Bayern
179,867,1883-01-01,2021-12-31,344,50.3066,10.9679,Lautertal-Oberlauter,Bayern
202,983,2006-12-01,2021-12-31,419,48.5562,10.5599,Dillingen/Donau-Fristingen,Bayern
229,1103,1938-01-01,2021-12-31,592,48.1003,11.9872,Ebersberg-Halbing,Bayern
231,1107,1948-01-01,2021-12-31,346,49.852,10.4991,Ebrach,Bayern
235,1161,1952-01-01,2021-12-31,384,48.8777,11.2349,Eichstätt-Landershofen,Bayern
257,1262,1992-05-17,2021-12-31,446,48.3477,11.8134,München-Flughafen,Bayern
262,1279,1881-01-01,2021-12-31,268,49.6497,11.0075,Möhrendorf-Kleinseebach,Bayern
272,1332,1937-01-01,2021-12-31,471,48.4832,12.7241,"Falkenberg,Kr.Rottal-Inn",Bayern
278,1357,1947-01-01,2021-12-31,655,49.9807,11.8376,Fichtelberg/Oberfranken-Hütts,Bayern
302,1473,2006-01-01,2019-02-28,414,49.1869,11.308,Freystadt-Michelbach,Bayern
314,1550,1889-01-01,2021-12-31,719,47.483,11.0621,Garmisch-Partenkirchen,Bayern
321,1587,1998-01-01,2021-12-31,536,48.9481,11.4289,Gelbelsee,Bayern
341,1721,1991-01-01,2021-12-31,506,49.664,11.2239,Gräfenberg-Kasberg,Bayern
342,1735,1958-01-01,2021-12-31,628,48.7894,13.629,Grainet-Rehberg,Bayern
352,1832,1982-11-01,2021-12-31,436,49.1129,13.1338,Großer Arber,Bayern
361,1886,2016-09-01,2021-12-31,444,48.4878,10.2608,Günzburg,Bayern
383,2023,1998-01-03,2021-12-31,501,48.7918,10.7062,Harburg,Bayern
423,2261,1947-01-01,2022-08-31,565,50.3123,11.876,Hof,Bayern
427,2290,1781-01-01,2021-12-31,977,47.8009,11.0108,Hohenpeißenberg,Bayern
434,2319,1953-01-01,2021-12-31,685,47.8823,11.6961,Holzkirchen,Bayern
466,2480,1896-01-01,2021-12-31,108,50.0643,8.993,Kahl/Main,Bayern
484,2559,1881-01-01,2021-12-31,705,47.7233,10.3348,Kempten,Bayern
489,2597,1881-01-01,2021-12-31,282,50.224,10.0792,"Kissingen, Bad",Bayern
490,2600,1941-01-01,2021-12-31,193,49.7363,10.1781,Kitzingen,Bayern
505,2680,1948-01-01,2021-12-31,289,50.284,10.4456,"Königshofen, Bad",Bayern
