wkt_geom,fid,field_1,station_id,date_from,date_to,altitude,latitude,longitude,name,state,dtm-altitude
Point (13.05059999999999931 48.61590000000000344),1,8,73,1/1/1953,12/31/2021,340,48.6159,13.0506,Aldersbach-Kriestorf,Bayern,339.47
Point (11.31170000000000009 48.40599999999999881),2,21,142,1/1/1955,12/31/2021,511,48.406,11.3117,Altomünster-Maisbrunn,Bayern,508.62
Point (11.85459999999999958 49.46909999999999741),3,23,151,1881-01-01,12/31/2021,382,49.4691,11.8546,Amberg-Unterammersricht,Bayern,381.59
Point (12.29250000000000043 48.01970000000000027),4,24,154,1/1/1994,12/31/2021,516,48.0197,12.2925,Amerang-Pfaffing,Bayern,515.58
Point (9.91140000000000043 49.96940000000000026),5,38,191,1884-01-01,12/31/2021,217,49.9694,9.9114,Arnstein-Müdesheim,Bayern,216
Point (11.36430000000000007 47.87740000000000151),6,44,217,1/1/1938,12/31/2021,670,47.8774,11.3643,Attenkam,Bayern,672.2
Point (10.94170000000000087 48.42530000000000001),7,48,232,1/1/1947,12/31/2021,462,48.4253,10.9417,Augsburg,Bayern,461.84
Point (10.92060000000000031 49.87429999999999808),8,54,282,1/1/1949,12/31/2021,240,49.8743,10.9206,Bamberg,Bayern,239.47
Point (11.51980000000000004 49.96659999999999968),9,62,320,1851-01-01,12/31/2021,350,49.9666,11.5198,Heinersreuth-Vollhof,Bayern,349.07
Point (12.54039999999999999 47.88430000000000319),10,176,856,1/1/1998,12/31/2021,551,47.8843,12.5404,Chieming,Bayern,549.91
Point (10.9679000000000002 50.30660000000000309),11,179,867,1883-01-01,12/31/2021,344,50.3066,10.9679,Lautertal-Oberlauter,Bayern,342.43
Point (10.55990000000000073 48.55619999999999692),12,202,983,12/1/2006,12/31/2021,419,48.5562,10.5599,Dillingen/Donau-Fristingen,Bayern,418.93
Point (11.98719999999999963 48.10029999999999717),13,229,1103,1/1/1938,12/31/2021,592,48.1003,11.9872,Ebersberg-Halbing,Bayern,587.19
Point (10.49910000000000032 49.85199999999999676),14,231,1107,1/1/1948,12/31/2021,346,49.852,10.4991,Ebrach,Bayern,346.41
Point (11.23489999999999966 48.87769999999999726),15,235,1161,1/1/1952,12/31/2021,384,48.8777,11.2349,Eichstätt-Landershofen,Bayern,384.31
Point (11.81339999999999968 48.34770000000000323),16,257,1262,5/17/1992,12/31/2021,446,48.3477,11.8134,München-Flughafen,Bayern,445.31
Point (11.00750000000000028 49.64970000000000283),17,262,1279,1881-01-01,12/31/2021,268,49.6497,11.0075,Möhrendorf-Kleinseebach,Bayern,267.51
Point (12.72409999999999997 48.48319999999999652),18,272,1332,1/1/1937,12/31/2021,471,48.4832,12.7241,"Falkenberg,Kr.Rottal-Inn",Bayern,470.67
Point (11.83760000000000012 49.98069999999999879),19,278,1357,1/1/1947,12/31/2021,655,49.9807,11.8376,Fichtelberg/Oberfranken-Hütts,Bayern,651.31
Point (11.30799999999999983 49.1869000000000014),20,302,1473,1/1/2006,2/28/2019,414,49.1869,11.308,Freystadt-Michelbach,Bayern,413.71
Point (11.06209999999999916 47.48299999999999699),21,314,1550,1889-01-01,12/31/2021,719,47.483,11.0621,Garmisch-Partenkirchen,Bayern,718.5
Point (11.4289000000000005 48.94809999999999661),22,321,1587,1/1/1998,12/31/2021,536,48.9481,11.4289,Gelbelsee,Bayern,537.25
Point (11.22390000000000043 49.66400000000000148),23,341,1721,1/1/1991,12/31/2021,506,49.664,11.2239,Gräfenberg-Kasberg,Bayern,505.29
Point (13.62899999999999956 48.78940000000000055),24,342,1735,1/1/1958,12/31/2021,628,48.7894,13.629,Grainet-Rehberg,Bayern,624.84
Point (13.13380000000000081 49.11290000000000333),25,352,1832,11/1/1982,12/31/2021,436,49.1129,13.1338,Großer Arber,Bayern,1434.92
Point (10.2607999999999997 48.48780000000000001),26,361,1886,9/1/2016,12/31/2021,444,48.4878,10.2608,Günzburg,Bayern,443.77
Point (10.70620000000000083 48.79180000000000206),27,383,2023,1/3/1998,12/31/2021,501,48.7918,10.7062,Harburg,Bayern,498.35
Point (11.87599999999999945 50.31230000000000047),28,423,2261,1/1/1947,8/31/2022,565,50.3123,11.876,Hof,Bayern,565.14
Point (11.0107999999999997 47.80089999999999861),29,427,2290,1781-01-01,12/31/2021,977,47.8009,11.0108,Hohenpeißenberg,Bayern,958.87
Point (11.6960999999999995 47.88230000000000075),30,434,2319,1/1/1953,12/31/2021,685,47.8823,11.6961,Holzkirchen,Bayern,684.91
Point (8.99300000000000033 50.06430000000000291),31,466,2480,1896-01-01,12/31/2021,108,50.0643,8.993,Kahl/Main,Bayern,107.43
Point (10.33479999999999954 47.72330000000000183),32,484,2559,1881-01-01,12/31/2021,705,47.7233,10.3348,Kempten,Bayern,703.13
Point (10.07920000000000016 50.22399999999999665),33,489,2597,1881-01-01,12/31/2021,282,50.224,10.0792,"Kissingen, Bad",Bayern,279.2
Point (10.17810000000000059 49.73629999999999995),34,490,2600,1/1/1941,12/31/2021,193,49.7363,10.1781,Kitzingen,Bayern,190.3
Point (10.44560000000000066 50.28399999999999892),35,505,2680,1/1/1948,12/31/2021,289,50.284,10.4456,"Königshofen, Bad",Bayern,289.13
Point (11.48719999999999963 48.83019999999999783),36,509,2700,1/1/1947,12/31/2021,416,48.8302,11.4872,Kösching,Bayern,414.97
Point (11.08050000000000068 47.66519999999999868),37,513,2708,8/1/1991,12/31/2021,742,47.6652,11.0805,"Kohlgrub, Bad (Rosshof)",Bayern,734.56
Point (11.32089999999999996 50.25240000000000151),38,518,2750,1/1/1949,12/31/2021,310,50.2524,11.3209,Kronach,Bayern,310.11
Point (11.90160000000000018 49.42830000000000013),39,522,2773,1/1/2001,12/31/2021,415,49.4283,11.9016,Kümmersbruck,Bayern,412.21
Point (10.85069999999999979 48.18489999999999895),40,544,2905,1/1/2001,12/31/2021,550,48.1849,10.8507,Lechfeld,Bayern,549.61
Point (12.21180000000000021 48.75480000000000302),41,598,3147,1/1/1952,8/31/2022,390,48.7548,12.2118,Mallersdorf-Pfaffenberg-Oberl,Bayern,390.26
Point (10.13840000000000074 47.98210000000000264),42,619,3244,1/1/1940,12/31/2021,614,47.9821,10.1384,Memmingen,Bayern,614.46
Point (12.91890000000000072 48.85479999999999734),43,626,3271,1881-01-01,12/31/2021,314,48.8548,12.9189,Metten,Bayern,314.19
Point (11.26529999999999987 47.47789999999999822),44,634,3307,1890-01-01,12/31/2021,984,47.4779,11.2653,Mittenwald-Buckelwiesen,Bayern,984.69
Point (9.25300000000000011 49.76440000000000197),45,637,3319,9/1/2006,12/31/2021,239,49.7644,9.253,Röllbach,Bayern,236.75
Point (12.50239999999999974 48.27900000000000347),46,642,3366,1/1/1953,12/31/2021,406,48.279,12.5024,Mühldorf,Bayern,405.63
Point (11.54289999999999949 48.16320000000000334),47,645,3379,6/1/1954,12/31/2021,515,48.1632,11.5429,München-Stadt,Bayern,514.67
Point (11.21470000000000056 48.7085000000000008),48,659,3484,1/1/2002,12/31/2021,380,48.7085,11.2147,Neuburg/Donau (Flugplatz),Bayern,378.89
Point (10.37729999999999997 48.31150000000000233),49,660,3485,6/1/1991,12/31/2021,486,48.3115,10.3773,Neuburg/Kammel-Langenhaslach,Bayern,487.81
Point (11.86379999999999946 49.81739999999999924),50,675,3571,3/1/2008,12/31/2021,452,49.8174,11.8638,Neustadt am Kulm-Filchendorf,Bayern,450.54
Point (10.50670000000000037 48.82529999999999859),51,686,3621,1/1/1900,12/31/2021,435,48.8253,10.5067,Reimlingen,Bayern,438.52
