"station_id","date_from","date_to","altitude","latitude","longitude","name","state","geometry"
389,"2009-11-01","2022-09-07",436,51.0148,8.4318,"Berleburg, Bad-Arfeld","Nordrhein-Westfalen","0101000020E61000005BD3BCE314DD20408BFD65F7E4814940"
390,"2004-07-01","2022-09-07",610,50.9837,8.3683,"Berleburg, Bad-Stünzel","Nordrhein-Westfalen","0101000020E6100000CD3B4ED191BC2040A089B0E1E97D4940"
554,"1995-09-01","2022-09-07",23,51.8293,6.5365,"Bocholt-Liedern (Wasserwerk)","Nordrhein-Westfalen","0101000020E61000004C37894160251A4052499D8026EA4940"
603,"1999-03-03","2022-09-07",147,50.7293,7.204,"Königswinter-Heiderhof","Nordrhein-Westfalen","0101000020E610000037894160E5D01C40857CD0B3595D4940"
613,"2004-11-01","2022-09-07",206,51.5677,9.2324,"Borgentreich","Nordrhein-Westfalen","0101000020E6100000492EFF21FD76224038F8C264AAC84940"
617,"2004-06-01","2022-09-07",47,51.873,6.8863,"Borken in Westfalen","Nordrhein-Westfalen","0101000020E61000007AC7293A928B1B4039B4C876BEEF4940"
644,"2005-01-01","2022-09-07",150,51.7049,9.1738,"Brakel","Nordrhein-Westfalen","0101000020E6100000F0164850FC582240A779C7293ADA4940"
796,"2004-11-01","2022-09-07",412,50.7556,8.1257,"Burbach-Würgendorf","Nordrhein-Westfalen","0101000020E6100000E3361AC05B402040C66D3480B7604940"
871,"2005-08-01","2022-09-07",87,51.9618,7.1585,"Coesfeld","Nordrhein-Westfalen","0101000020E6100000FCA9F1D24DA21C407AA52C431CFB4940"
902,"2006-10-01","2022-09-07",573,50.4115,6.5615,"Dahlem-Schmidtheim","Nordrhein-Westfalen","0101000020E6100000E5D022DBF93E1A40E9263108AC344940"
934,"2004-10-01","2022-09-07",88,51.7835,8.5658,"Delbrück","Nordrhein-Westfalen","0101000020E61000005227A089B02121403F355EBA49E44940"
